"room name", "x", "y", "z", "a_x", "a_y", "a_z", "a_w"
"living room",0,0,0, 0.001, -0.001, -0.732, -0.68 
"kitchen",-4.5,0,0, 0.001, -0.001, -0.732, -0.68 
"entrance",-1,-4.3,0, 0.001, -0.001, -0.732, -0.68 
"hall", -4.5, -2.7,0, 0.001, -0.001, -0.732, -0.68 
"bedroom",-7.2,-2.8,0, 0.001, -0.001, -0.732, -0.68 
"bathroom", -7, 0.3,0, 0.001, -0.001, -0.732, -0.68 
"pick_cup", -4.696,0.616, 0, 0, 0.003, -0.012, 0.991
"place_cup",-4.696,0.616, 0, -0.002, -0.003, 0.636, -0.771
"cup",-4.696,0.616, 0, -0.002, -0.003, 0.636, -0.771
"panda_goal_up", -0.5, -0.5, 0.5, 0, -1, 0, 0
"panda_goal_down",0, 0.5, 0.3, -0.002, -0.733, 0.244, 0.635
"pick_panda",-0.5, -0.5, 0,  0.0, 0.0, -0.938, 0.345 
